[00:02:00] こんにちは
[00:38:06] そこの中にそれは美味しいものなのか美しいものなのか
[00:38:11] 触れるものなのかなんだろうっていう
[00:38:15] そういう商品企画というか
[00:38:18] やってらっしゃるはずなんですよね
[00:38:21] なるほど
[00:38:21] それが証拠に
[00:38:24] 沿道で手を振ってくれるって必ず
[00:38:27] はいはいはい
[00:38:28] あれは別にJR九州なり
[00:38:31] JRなんとかか
[00:38:32] やってるわけじゃなくて
[00:38:34] 要はそういう形で
[00:38:37] 自分たちの
[00:38:39] 地域を
[00:38:40] 豊かにしてくれる
[00:38:43] 結局な感じに思ってるのではないかなと。
[00:38:45] 社相から見てる本にはどうかって言ったら、
[00:38:49] やっぱなんかあったかい、その当時失われてしまったかもしれない、忘れてたかもしれない。
[00:38:56] そういう瞬間、やった感があって。
[00:39:01] 思わず恥ずかしいけど手を振ってしまうっていう。
[00:39:05] でも手を振ってるんだけど、振ってる瞬間にあったかいものがファーっとこう、
[00:39:12] ハートに浮かんでくるっていう
[00:39:14] だからそういう
[00:39:17] 風なことに
[00:39:20] 変わってきてるのかなっていう
[00:39:21] なるほど
[00:39:23] そうですね
[00:39:24] でそれが
[00:39:26] それこそ価値観なのか
[00:39:28] 何なんだろうっていう
[00:39:30] ふとそう思ったっていう
[00:39:33] うん
[00:39:33] そこのところもちょっとこう
[00:39:36] 自分なりに
[00:39:38] 解明して
[00:39:40] そうですね
[00:39:42] メッセージとして伝えられればなと気がするんですけどね
[00:39:45] タイム・イズ・マネーの受け止め方
[00:39:50] それを言った人が
[00:39:54] 本来言っているシーンは何だろう
[00:39:57] ではなく
[00:39:58] タイム・イズ・マネーという
[00:40:00] その言葉から受け取る
[00:40:03] 自分の受け止め方
[00:40:04] それはその当時の生活
[00:40:09] いわゆるライフスタイルですね
[00:40:12] それから自分が目指しているものとか
[00:40:15] それから自分が
[00:40:17] これはやるべきであるとか
[00:40:20] やらなければとか
[00:40:21] 思っていることと
[00:40:23] 要は
[00:40:24] 一体になっていると思うんですよ
[00:40:27] そう
[00:40:28] ただタイムズマネーの
[00:40:31] 理解の仕方が
[00:40:32] やっぱりこう
[00:40:33] 置かれている環境によって
[00:40:36] 変わってきているのではないか
[00:40:39] なるほど
[00:40:40] そうか
[00:40:42] それは受け身的に
[00:40:45] そうやそうだよなになってるんですけど
[00:40:47] ずっと考えて
[00:40:49] 何かはっと
[00:40:51] こういうことかなって
[00:40:53] 発見できれば
[00:40:55] 受け身ではなく
[00:40:56] 能動的に
[00:40:58] こういうもんです
[00:40:59] もしくはこういうもんじゃないですか
[00:41:02] 問いかけに
[00:41:05] 置き換わるのかな
[00:41:06] それもずっとメッセージとして
[00:41:10] 入れたいなっていう
[00:41:13] なぜかというと
[00:41:15] そのメッセージを入れることによって
[00:41:17] 読んだ方が
[00:41:19] それを考える
[00:41:20] 自分なりに
[00:41:22] わたるみの主張があってらあってないじゃなくて
[00:41:25] そうかそういう視点
[00:41:27] 持ってなかったなと
[00:41:28] ちょっと考えてみようって考え始める
[00:41:30] なんか結構それ重要なのかな
[00:41:33] これは師匠の思い出の花を
[00:41:39] 摘むのと同じで
[00:41:40] 結局は
[00:41:42] 一瞬一瞬を
[00:41:45] 大切に
[00:41:47] それから時間だけではなく
[00:41:49] 逆に言うと
[00:41:50] 中さんが書いていただいた周りにいる
[00:41:52] 仲間たちとの
[00:41:55] 時間の過ごし方
[00:41:56] これを
[00:41:58] いわゆる記録記憶に残していく
[00:42:01] っていう
[00:42:01] それが思い出の花を
[00:42:04] もしくは種を植えていく
[00:42:06] 花を咲かせる
[00:42:08] ということなんだと
[00:42:09] で体を動かなくていいが
[00:42:12] でその思い出の花を
[00:42:14] 摘むんだっていう
[00:42:15] そういう話だったので
[00:42:18] タイミングズマネー
[00:42:21] とは何かそこは
[00:42:22] 神話性があるっていうのか
[00:42:24] 僕の中でつながるんじゃないかな
[00:42:27] っていう風に思ってますけど
[00:42:29] なるほど
[00:42:31] 高橋さんの目はどうなっているのか
[00:42:36] タイミング詰まれってどんなことが
[00:42:37] 確かにすごい
[00:42:40] まさにお金で時間を買うっていう発想って
[00:42:49] 若い時から
[00:42:50] 上の方たちはそういうふうにおっしゃってるっていうのが
[00:42:56] 感じますし
[00:42:58] 若いうちは本当にできるだけ時間をかけて
[00:43:05] 仕事をできるだけいっぱいした方がいいんだろうな
[00:43:07] 必要量みたいな形でやっていたんですけど
[00:43:13] その中で簡単な5年目を重ねるうちに
[00:43:19] 効率的に時間使い方をうまくやっていきながら
[00:43:25] 仕事をしていくっていうことがやっぱり求められてくるという
[00:43:28] ところがあってくると思うので
[00:43:30] この絶対値段量を
[00:43:32] こなすということよりも
[00:43:34] 質を高めていくっていう
[00:43:36] 考えていく中で
[00:43:40] 時間と金っていう
[00:43:42] その考え方が
[00:43:44] そうですね
[00:43:48] 本当に若い時はお金がないから
[00:43:50] お金はねっていう形で
[00:43:52] 思ってたんですけど
[00:43:55] ある程度余裕が出てくると
[00:43:57] そういう発想もあまりなくなって
[00:43:59] それこそ移動にタクシーを使えるようになってとか
[00:44:02] そういう形になってくると
[00:44:05] それこそ本当に時間の方が大事になってくる
[00:44:09] っていうところをやっぱり徐々に思いますし
[00:44:13] さらにこれが年齢が高くなっていくと
[00:44:18] その時間の価値というものが高まっていくんだろうな
[00:44:21] っていうのを思います
[00:44:23] ただ日々常に
[00:44:27] 時間が大事だっていう
[00:44:29] 発想がちょっとやっぱり
[00:44:32] ちょっと抜けるような時もあるな
[00:44:34] っていうので
[00:44:35] もっと大切にしなきゃいけないなと
[00:44:37] 今お話聞いてて改めて
[00:44:39] 思いました
[00:44:40] 実感がやっぱりまだ
[00:44:43] もうちょっと
[00:44:44] 必要なんだなと思いました
[00:44:48] なので
[00:44:50] やっぱり若い頃は
[00:44:52] ジェームン自身もそうでしたけど
[00:44:53] 先が長いっていう
[00:44:54] それが絶対的にあるわけですよね
[00:44:58] 不良の塾は置いといて
[00:45:00] そうすると
[00:45:03] 時間っていう観念がないんですよね
[00:45:06] そうですね
[00:45:07] どうやってお金をとか
[00:45:10] そうですね
[00:45:11] だから宝くじあったって
[00:45:13] 宝くじで時間買おうってことじゃない
[00:45:16] 借りる
[00:45:17] 借りるんですよね
[00:45:18] そうですね
[00:45:19] いくらいいこと言ったって結局はね
[00:45:22] お金
[00:45:23] もちろんその何かを過ごすとか趣味とかそれは別に置いといて
[00:45:28] はい
[00:45:28] やっぱりそうなんですよ時間がねどっか行っちゃってるんですよ
[00:45:33] そうですねそうですね本当に時間がどっかに行っちゃいますね
[00:45:37] なので僕はこの高田さんが書いていただいた60歳からこういうことに
[00:45:42] やっぱりちょっと足を止めて考えてみましょうよって書いていただいている
[00:45:50] その中にやっぱり時間っていうのを入れたい
[00:45:54] 若い頃のまんまずっと60も過ぎて
[00:46:00] 高橋さんの書いていただいたあれっていうと
[00:46:03] 延長線で要は来ちゃってるんで
[00:46:05] 時間どっかに飛んでるわけですよ
[00:46:08] でも気づいた人
[00:46:11] 二度おいしいっていう人生
[00:46:13] 気づいた人は待てよと
[00:46:17] 本当の20歳の子と
[00:46:20] 違うぞと
[00:46:20] やっぱり60は60だと
[00:46:23] そうすると
[00:46:25] 統計的によく分かりませんが
[00:46:28] 死ぬ確率っていうのは
[00:46:30] 2度目の
[00:46:32] この人生っていうのは
[00:46:33] 非常に高い
[00:46:35] つまり時間が貴重であると
[00:46:37] だから貴重さが
[00:46:41] やっぱり時間の方に
[00:46:44] 重きを置くっていう
[00:46:45] そこに早く気づきましょうよと
[00:46:48] だとすると60歳からのタイミング詰まりは
[00:46:53] 金じゃないですよねと
[00:46:55] 時間ですよねっていう
[00:46:58] 一瞬一瞬の時をどう大切にしていくのかっていう
[00:47:02] そこなんではないかなって
[00:47:05] 結局そこは質の生き方に
[00:47:12] 変わってくるのかなっていう
[00:47:15] 量の考え方ってのは
[00:47:18] 金がたくさん入ればいいという
[00:47:20] 量の話なんですけど
[00:47:22] 誰の人生っていうのは
[00:47:25] もう
[00:47:26] 先が間違いなく
[00:47:28] ないわけですから
[00:47:29] そうするとここでは
[00:47:32] 質であり
[00:47:33] あれこれやってる場合じゃないし
[00:47:35] その選択の中に
[00:47:38] 時っていうのが
[00:47:39] 時間っていうのがやっぱり組み込まれる
[00:47:41] 非常に重要な要素だと
[00:47:44] 私は
[00:47:46] 小物先の会社さんに
[00:47:49] いろいろ言うのは
[00:47:50] 社員さんもいらっしゃいますけど
[00:47:53] お金はいつでも
[00:47:55] 取り戻せますよと
[00:47:57] いやー騙されちゃった
[00:47:59] いや取り戻せますよ稼げいいんで
[00:48:01] 時間どうやって取り戻します
[00:48:03] っていう
[00:48:04] 戻りますかと
[00:48:07] そんな
[00:48:09] 沈黙になっちゃう
[00:48:10] 戻んねえわな
[00:48:13] なので
[00:48:16] 金は戻っても時間戻らないから
[00:48:19] 時間が一番重要なんだっていう話を
[00:48:23] 経営者の方とか
[00:48:25] 管理者の方に言うんですけど
[00:48:27] だから時は金なりじゃないですけど
[00:48:30] 金じゃなくて結局時間の貴重性っていうのを
[00:48:35] やっぱり認識して
[00:48:36] 行動しませんかっていうのを言っていく
[00:48:41] そこにやっぱり優先順位必要ですよね
[00:48:44] あと行動の優先順位を立てていきましょう
[00:48:47] って経営コンサルやるんですけど
[00:48:50] 基本人生も同じだと思うんですよね
[00:48:54] そうですね
[00:48:56] 最初からもうマイナス
[00:48:58] 最初が一番長くて
[00:48:59] そこから徐々に次元爆弾的に短くなっていくっていうのをありながら
[00:49:05] やっぱり永遠に続くように生きちゃいますもんね
[00:49:08] 若い時に成功するって
[00:49:12] 40代で
[00:49:14] もうキャッシュ全部掴んじゃって
[00:49:16] そこからもね
[00:49:18] お金あり余るわけですけど
[00:49:21] そこで
[00:49:23] 人によっていろいろ違うでしょうけど
[00:49:27] それが物になるのか
[00:49:28] 食事になるのか
[00:49:29] 旅行なのか
[00:49:31] はたまた
[00:49:32] 異性なのか
[00:49:34] それずっとやってて
[00:49:38] 人生どうですかと
[00:49:40] やっぱりこれは調べた方がいらっしゃって
[00:49:44] そこで豊かに死んでった人はいないっていう
[00:49:48] やっぱり人間ってのは死ぬまで何かをしていくっていうか
[00:49:55] やっぱり社会とつながっていくっていうか
[00:49:58] だからやっぱり単独で生きて死んでいくっていう
[00:50:01] そういう生物はないらしいんですよね
[00:50:04] なので社会性の動物なので
[00:50:07] 基本的には自分だけリタイアして
[00:50:10] 好きなことをやって
[00:50:13] でも結局それって1週間くらい飽きちゃう
[00:50:16] 何が元のもの足らないんだろうって考えると
[00:50:21] なんかふと頭でよぎる
[00:50:23] 夢の中でよぎるのが
[00:50:25] 貧しかった頃の自分の小さい頃の
[00:50:27] あの頃の楽しかった
[00:50:29] なんで貧しかったのに楽しかったんだろうっていう
[00:50:33] そこには同じ共有する友達がいたりとか
[00:50:37] 逆に言えば自然の何もない場所があったりとか
[00:50:41] そこで工夫したとか
[00:50:43] やっぱそこだよねという気がするんですよ
[00:50:49] だから本当に人生とは何ぞやっても
[00:50:52] 不可解な大テーマ
[00:50:54] 哲学の大テーマに結局は行き着いていくんですけど
[00:50:58] そういうところがあるのかなと
[00:51:01] まさにファイヤーって最近
[00:51:06] みんな憧れたじゃないですか
[00:51:09] でも本当に冷静に考えると
[00:51:11] ファイヤーも一週間経てば飽きるっていう情報も多くある中で
[00:51:16] やっぱりちょっと羨ましく見えちゃうのは
[00:51:19] やっぱりなんかあるんですかね
[00:51:23] 自由に
[00:51:27] 商品のお金を稼いで
[00:51:31] 自由自力なことをしたいと
[00:51:34] 湖の前で釣りなんかしてたいみたいに
[00:51:38] 思うけれども
[00:51:39] それはそれでも1週間で飽きちゃう
[00:51:42] ダンはそこに憧れちゃうっていうのは
[00:51:45] やっぱりDNA的に
[00:51:49] 本能的に刻まれてる
[00:51:52] どうなんですかね
[00:51:53] 先ほどお互いでそうだねって
[00:51:58] 交換しあった
[00:51:59] いわゆる若い頃っていうのは
[00:52:01] 量なんですよ
[00:52:03] はっきり言うと金なんですよ
[00:52:06] はいはいそうですね
[00:52:07] それをキャッシュを得たと
[00:52:09] しかも量が半端じゃない
[00:52:12] だからそれは当然そこは
[00:52:15] 羨ましく思うっていうのは当たり前の話で
[00:52:17] なぜならばその世代は
[00:52:21] 基本的に量であり金っていうのは最大の価値なんで
[00:52:26] それでいいとは言いませんけど
[00:52:30] いいと言ってもいいと思うんですよ
[00:52:32] 僕自然に
[00:52:34] でもそれが60歳からは
[00:52:37] 日本に来た時には
[00:52:39] そのままの延長でいいんですかと
[00:52:43] 7歳になっても量を追い求め
[00:52:45] 金を追い求めじゃないですよねと
[00:52:49] ないようにしましょうよと
[00:52:52] なるほど
[00:52:54] そういうことですよね
[00:52:57] 違う山みたい
[00:53:00] こっちの山は
[00:53:01] 登りきってもずっと
[00:53:04] あれはあるけど違う山も
[00:53:06] あるよみたいな形で
[00:53:07] 別れるってこと
[00:53:09] 認識できますもんね
[00:53:12] ストレートな言いにくいですけど
[00:53:13] 多分50代までは
[00:53:15] 寮と金の時代っていう
[00:53:18] 60歳からは質と時間の違いっていう
[00:53:23] だからそこが重要なのかな
[00:53:27] そうですね
[00:53:29] それが大きさにでも実体験として初めてやっぱり理解できるのかもしれないですけど
[00:53:37] 今回渡辺社長みたいに書籍として情報提供することで
[00:53:42] これこういうこと言ってたんだなのか
[00:53:45] ここに答えがあったなのか
[00:53:47] 出会うタイミングによっても違いますけど
[00:53:48] 非常に価値がありますよね
[00:53:50] こういう風に考えている人もいるという
[00:53:53] 正解はもちろん
[00:53:55] 人それぞれいろいろある人の
[00:53:57] どういう考え方があるっていうのは
[00:54:00] 確かに
[00:54:01] ぜひ情報として
[00:54:03] いろんな人の
[00:54:05] 助けにはなるような気がしますもんね
[00:54:07] きっとそのコンテに流れているのは
[00:54:10] 20代から50代までは
[00:54:13] やっぱタイムレスっていうのが
[00:54:15] コンテリ流れていて
[00:54:18] 60歳からやっぱ
[00:54:20] タイムリミット
[00:54:20] っていうのが
[00:54:23] コンテリあるんじゃないかな
[00:54:24] なるほど
[00:54:24] やっぱりそこを視点に
[00:54:28] 物を考えると
[00:54:29] 結局量、金
[00:54:31] 片方は
[00:54:33] 質、時間
[00:54:35] タイムレスなんで
[00:54:38] そんな気がしますね
[00:54:41] タイムリミットなんでね
[00:54:43] タイムレスの場合は
[00:54:45] 無人像にあるんで 時間もどうでもいいと
[00:54:50] 無人像にあるから。そうじゃなくて 金と量なんだと
[00:54:55] いわゆるまあ 大金を大金を稼ぎたいっていう
[00:55:00] だからあの 詐欺の事件の話もねいっぱい出てきてる
[00:55:05] そうですねー いかにこう手にキャッシュを掴むかっていう
[00:55:12] それが出世っていう言葉になってるっていう
[00:55:15] 60歳過ぎてから出世なんてないですから
[00:55:19] そうですね
[00:55:21] 言い悪いの話じゃなくて
[00:55:24] そういうのももちろんやって正解だし
[00:55:28] ただそれが60歳になってくると
[00:55:30] 大きく変化する
[00:55:32] 180度もうUターンして
[00:55:36] 道を考えると
[00:55:39] 制限時間があったんだっていう
[00:55:42] そこでようやく途中の経過時間が見えてくるみたいな
[00:55:47] そういう雰囲気もあるのかもしれない
[00:55:48] きっと20代50代出世でいいんでしょうけど
[00:55:54] やっぱり今度60代からは
[00:55:57] それが出世の言葉が変わる必要があると思いますよね
[00:56:00] そうですね
[00:56:00] 本当に大きく20代から50代までと60代以降で
[00:56:08] その定義自体がタイムレスとタイムリミットみたいな感じで
[00:56:12] 極端に変わるっていうのが正しい気がしましたね
[00:56:16] だから大げさに言えば世を救うっていうね
[00:56:21] だから救世みたいな感じ
[00:56:23] やっぱり求めるのが違うじゃないかなって
[00:56:29] 出世から切り替わって何か
[00:56:32] そうですね
[00:56:32] 追い求めていくものが
[00:56:34] だからそれが恩送り
[00:56:37] この形で世の中もね
[00:56:41] 救うわけじゃないんですけど
[00:56:42] 助けるっていうことになるのかもしれませんけど
[00:56:46] そういう側にもあるっていう
[00:56:48] だからそこには出世じゃないよ
[00:56:51] でも出世したいがためにいろいろ頑張ったよね
[00:56:56] そうですね
[00:56:57] 知識も能力もそれなりの知見も
[00:57:01] 人脈も高さに変えていただいたり
[00:57:04] そういったものは備わってる
[00:57:06] それを活用して
[00:57:08] 出世じゃない
[00:57:09] 何をしていくの
[00:57:12] これからっていう
[00:57:13] その自分探しの中で
[00:57:16] その言葉は
[00:57:17] 必要なんじゃないかな
[00:57:18] 気がしますねさっきの
[00:57:21] タイムリミットだったりね
[00:57:23] 質だったり
[00:57:25] 時間だったりっていう
[00:57:26] あくまで20代から50代までの
[00:57:30] その
[00:57:30] 時間を
[00:57:34] かけてやるって出世目指すこと
[00:57:36] お金を目指すことは
[00:57:37] 大事だよっていうことは大事ですもんね
[00:57:40] それがあったからこそ
[00:57:41] 60代以降できるっていう
[00:57:43] それが自分の
[00:57:46] 血となり肉となり
[00:57:47] 実力になっていくわけですよね
[00:57:49] そうですね価値の否定ではなく
[00:57:51] 価値の否定ですよね
[00:57:53] そうですね
[00:57:54] それでいいんだろうかいいんだよ
[00:57:56] その時まではそれでいいんだ
[00:57:59] お金持ちになりたいいいんじゃないの
[00:58:01] 頑張りましょう
[00:58:02] そうですね
[00:58:03] その頑張りが60歳過ぎた時に
[00:58:08] 背中を押せる力になりますよ
[00:58:09] いやーそれなんか本当に深いですね
[00:58:14] そこまで考えてなかったですもんね
[00:58:17] 本当にやっぱり20代
[00:58:19] 今の僕はまだ40代ですけど
[00:58:22] そこまで考えて
[00:58:24] 金儲けを考えてないですもんね
[00:58:28] いや考えてください
[00:58:30] そうですね
[00:58:31] 60十何年ありますけど
[00:58:33] 大金を掴む
[00:58:35] 努力することが
[00:58:38] 逆に言うと
[00:58:39] 60過ぎてから世の中を救う力になる
[00:58:42] 確かに
[00:58:43] 深いですね
[00:58:44] 結局は
[00:58:46] 自分よく
[00:58:48] 金儲けたいっていうのは
[00:58:51] に見えるんだけど
[00:58:52] 60過ぎると
[00:58:53] 自分が世間を
[00:58:57] 救うというか
[00:58:58] 助けるというか
[00:58:59] そっちの力に転換できるっていう
[00:59:02] そうするとそこで
[00:59:04] 究極の社会貢献は
[00:59:08] いわゆる自己中心的な考え方であるという
[00:59:14] それは何かというと
[00:59:16] 社会貢献したいという
[00:59:18] それをすることによって
[00:59:21] すごく自分が
[00:59:23] 嬉しくなるというか
[00:59:26] 幸せな気分になれると
[00:59:28] もう自己満足であると
[00:59:30] という話を
[00:59:32] 時々するんですけど
[00:59:34] 面白い見方しますねって
[00:59:36] 大体言われますけど
[00:59:37] いや本当ですね
[00:59:39] これはまさに
[00:59:42] 大事ですね
[00:59:44] なんか考えたことなかったな
[00:59:47] 本当にその
[00:59:48] 金儲け
[00:59:50] ハードワークを
[00:59:52] 全工程ですかね若い時の
[00:59:54] 全工程で
[00:59:55] 頑張って実際そういう風にしてくれと
[00:59:59] そうですね
[01:00:00] その金を手にしたらその金を60から
[01:00:03] そっちに転換して
[01:00:05] 使ってくれればいいっていう
[01:00:06] そうですね
[01:00:07] 全然悪いじゃない
[01:00:10] いいことなんです
[01:00:11] ただそのままの延長を進んでいくと
[01:00:15] 高橋さんもおっしゃった
[01:00:16] ファイヤーでやっても結局
[01:00:18] 瞬間で飽きちゃうんだよね
[01:00:19] 最近はゆるくみたいな
[01:00:25] あんまりこのコンツメーズにみたいなのが
[01:00:28] 主流になって
[01:00:30] そう言いたいですね
[01:00:34] わかりました
[01:00:36] またまた
[01:00:38] 今日もまたその内容で
[01:00:43] 資料はアップデートしてまた共有させていただきます
[01:00:46] 次回は
[01:00:49] 5月ですかね
[01:00:51] そうですね
[01:00:55] コールデンウィークですもんね
[01:01:00] 私は全然いいんですけどね
[01:01:02] 本当ですか
[01:01:03] 11でも大丈夫でしょうか
[01:01:08] えっとですね
[01:01:09] 11が
[01:01:11] 11、12がちょっと
[01:01:13] ダメなので
[01:01:16] はい
[01:01:16] 13であれば
[01:01:20] じゃあ13でもお願いしてもよろしいですか
[01:01:22] はい
[01:01:23] じゃあ時間は11時で
[01:01:26] はい
[01:01:27] わかりました
[01:01:29] じゃあ続いては5月13日の水曜日11時から
[01:01:32] はい
[01:01:33] またよろしくお願いします
[01:01:36] はいわかりました
[01:01:37] 本日もありがとうございました
[01:01:39] ありがとうございました
[01:01:40] 失礼いたします
